0.00	3.00	3.00	5.00	34.00	6.00	37.00	4.00	33.00	9.00	40.00	9.00	7.00	39.00	36.00	29.00	23.00	43.00	38.00	43.00	40.00	27.00	35.00	23.00	29.00	26.00	42.00	27.00	31.00	37.00	44.00	42.00	44.00	35.00	46.00	41.00	39.00	37.00	37.00	
3.00	0.00	4.00	6.00	31.00	3.00	34.00	5.00	30.00	10.00	37.00	6.00	8.00	36.00	33.00	26.00	20.00	40.00	35.00	40.00	37.00	24.00	32.00	20.00	26.00	23.00	39.00	24.00	28.00	34.00	41.00	39.00	41.00	32.00	43.00	38.00	36.00	36.00	38.00	
3.00	4.00	0.00	2.00	33.00	5.00	36.00	3.00	32.00	6.00	39.00	8.00	4.00	38.00	35.00	28.00	22.00	42.00	37.00	42.00	39.00	26.00	34.00	22.00	28.00	25.00	41.00	26.00	30.00	36.00	43.00	41.00	43.00	34.00	45.00	40.00	38.00	36.00	34.00	
5.00	6.00	2.00	0.00	35.00	7.00	38.00	5.00	34.00	4.00	41.00	10.00	6.00	40.00	37.00	30.00	24.00	44.00	39.00	44.00	41.00	28.00	36.00	24.00	30.00	27.00	43.00	28.00	32.00	38.00	45.00	43.00	45.00	36.00	47.00	42.00	40.00	38.00	36.00	
34.00	31.00	33.00	35.00	0.00	28.00	3.00	32.00	5.00	37.00	6.00	31.00	35.00	5.00	6.00	13.00	19.00	9.00	10.00	9.00	10.00	37.00	33.00	47.00	43.00	46.00	32.00	49.00	47.00	45.00	42.00	50.00	42.00	57.00	50.00	55.00	59.00	63.00	65.00	
6.00	3.00	5.00	7.00	28.00	0.00	31.00	4.00	27.00	9.00	34.00	3.00	7.00	33.00	30.00	23.00	17.00	37.00	32.00	37.00	34.00	21.00	29.00	19.00	23.00	20.00	36.00	21.00	25.00	31.00	38.00	36.00	38.00	29.00	40.00	35.00	33.00	35.00	37.00	
37.00	34.00	36.00	38.00	3.00	31.00	0.00	33.00	6.00	38.00	3.00	32.00	36.00	4.00	7.00	14.00	20.00	6.00	11.00	8.00	11.00	38.00	34.00	48.00	44.00	47.00	33.00	50.00	48.00	46.00	43.00	51.00	43.00	58.00	51.00	56.00	60.00	64.00	66.00	
4.00	5.00	3.00	5.00	32.00	4.00	33.00	0.00	29.00	5.00	36.00	5.00	3.00	35.00	32.00	25.00	19.00	39.00	34.00	39.00	36.00	23.00	31.00	19.00	25.00	22.00	38.00	23.00	27.00	33.00	40.00	38.00	40.00	31.00	42.00	37.00	35.00	33.00	33.00	
33.00	30.00	32.00	34.00	5.00	27.00	6.00	29.00	0.00	32.00	7.00	26.00	30.00	6.00	3.00	8.00	14.00	10.00	5.00	10.00	7.00	32.00	28.00	42.00	38.00	41.00	27.00	44.00	42.00	40.00	37.00	45.00	37.00	52.00	45.00	50.00	54.00	58.00	60.00	
9.00	10.00	6.00	4.00	37.00	9.00	38.00	5.00	32.00	0.00	39.00	8.00	4.00	38.00	35.00	28.00	22.00	42.00	37.00	42.00	39.00	26.00	34.00	22.00	28.00	25.00	41.00	26.00	30.00	36.00	43.00	41.00	43.00	34.00	45.00	40.00	38.00	36.00	34.00	
40.00	37.00	39.00	41.00	6.00	34.00	3.00	36.00	7.00	39.00	0.00	31.00	35.00	3.00	6.00	13.00	19.00	3.00	10.00	7.00	10.00	37.00	33.00	47.00	43.00	46.00	32.00	49.00	47.00	45.00	42.00	50.00	42.00	57.00	50.00	55.00	59.00	63.00	65.00	
9.00	6.00	8.00	10.00	31.00	3.00	32.00	5.00	26.00	8.00	31.00	0.00	4.00	30.00	27.00	20.00	14.00	34.00	29.00	34.00	31.00	18.00	26.00	16.00	20.00	17.00	33.00	18.00	22.00	28.00	35.00	33.00	35.00	26.00	37.00	32.00	30.00	32.00	34.00	
7.00	8.00	4.00	6.00	35.00	7.00	36.00	3.00	30.00	4.00	35.00	4.00	0.00	34.00	31.00	24.00	18.00	38.00	33.00	38.00	35.00	22.00	30.00	18.00	24.00	21.00	37.00	22.00	26.00	32.00	39.00	37.00	39.00	30.00	41.00	36.00	34.00	32.00	30.00	
39.00	36.00	38.00	40.00	5.00	33.00	4.00	35.00	6.00	38.00	3.00	30.00	34.00	0.00	3.00	10.00	16.00	4.00	7.00	4.00	7.00	34.00	30.00	44.00	40.00	43.00	29.00	46.00	44.00	42.00	39.00	47.00	39.00	54.00	47.00	52.00	56.00	60.00	62.00	
36.00	33.00	35.00	37.00	6.00	30.00	7.00	32.00	3.00	35.00	6.00	27.00	31.00	3.00	0.00	7.00	13.00	7.00	4.00	7.00	4.00	31.00	27.00	41.00	37.00	40.00	26.00	43.00	41.00	39.00	36.00	44.00	36.00	51.00	44.00	49.00	53.00	57.00	59.00	
29.00	26.00	28.00	30.00	13.00	23.00	14.00	25.00	8.00	28.00	13.00	20.00	24.00	10.00	7.00	0.00	6.00	14.00	9.00	14.00	11.00	24.00	20.00	34.00	30.00	33.00	19.00	36.00	34.00	32.00	29.00	37.00	29.00	44.00	37.00	42.00	46.00	50.00	52.00	
23.00	20.00	22.00	24.00	19.00	17.00	20.00	19.00	14.00	22.00	19.00	14.00	18.00	16.00	13.00	6.00	0.00	20.00	15.00	20.00	17.00	18.00	14.00	28.00	24.00	27.00	19.00	30.00	28.00	26.00	23.00	31.00	23.00	38.00	31.00	36.00	40.00	44.00	46.00	
43.00	40.00	42.00	44.00	9.00	37.00	6.00	39.00	10.00	42.00	3.00	34.00	38.00	4.00	7.00	14.00	20.00	0.00	9.00	6.00	9.00	36.00	32.00	46.00	42.00	45.00	31.00	48.00	46.00	44.00	41.00	49.00	41.00	56.00	49.00	54.00	58.00	62.00	64.00	
38.00	35.00	37.00	39.00	10.00	32.00	11.00	34.00	5.00	37.00	10.00	29.00	33.00	7.00	4.00	9.00	15.00	9.00	0.00	5.00	2.00	27.00	23.00	37.00	33.00	36.00	22.00	39.00	37.00	35.00	32.00	40.00	32.00	47.00	40.00	45.00	49.00	53.00	55.00	
43.00	40.00	42.00	44.00	9.00	37.00	8.00	39.00	10.00	42.00	7.00	34.00	38.00	4.00	7.00	14.00	20.00	6.00	5.00	0.00	3.00	30.00	26.00	40.00	36.00	39.00	25.00	42.00	40.00	38.00	35.00	43.00	35.00	50.00	43.00	48.00	52.00	56.00	58.00	
40.00	37.00	39.00	41.00	10.00	34.00	11.00	36.00	7.00	39.00	10.00	31.00	35.00	7.00	4.00	11.00	17.00	9.00	2.00	3.00	0.00	27.00	23.00	37.00	33.00	36.00	22.00	39.00	37.00	35.00	32.00	40.00	32.00	47.00	40.00	45.00	49.00	53.00	55.00	
27.00	24.00	26.00	28.00	37.00	21.00	38.00	23.00	32.00	26.00	37.00	18.00	22.00	34.00	31.00	24.00	18.00	36.00	27.00	30.00	27.00	0.00	8.00	10.00	6.00	9.00	15.00	12.00	10.00	10.00	17.00	15.00	17.00	20.00	19.00	18.00	22.00	26.00	28.00	
35.00	32.00	34.00	36.00	33.00	29.00	34.00	31.00	28.00	34.00	33.00	26.00	30.00	30.00	27.00	20.00	14.00	32.00	23.00	26.00	23.00	8.00	0.00	14.00	10.00	13.00	7.00	16.00	14.00	12.00	9.00	17.00	9.00	24.00	17.00	22.00	26.00	30.00	32.00	
23.00	20.00	22.00	24.00	47.00	19.00	48.00	19.00	42.00	22.00	47.00	16.00	18.00	44.00	41.00	34.00	28.00	46.00	37.00	40.00	37.00	10.00	14.00	0.00	6.00	3.00	19.00	4.00	8.00	14.00	21.00	19.00	21.00	12.00	23.00	18.00	16.00	16.00	18.00	
29.00	26.00	28.00	30.00	43.00	23.00	44.00	25.00	38.00	28.00	43.00	20.00	24.00	40.00	37.00	30.00	24.00	42.00	33.00	36.00	33.00	6.00	10.00	6.00	0.00	3.00	13.00	6.00	4.00	8.00	15.00	13.00	15.00	14.00	17.00	12.00	16.00	20.00	22.00	
26.00	23.00	25.00	27.00	46.00	20.00	47.00	22.00	41.00	25.00	46.00	17.00	21.00	43.00	40.00	33.00	27.00	45.00	36.00	39.00	36.00	9.00	13.00	3.00	3.00	0.00	16.00	3.00	5.00	11.00	18.00	16.00	18.00	11.00	20.00	15.00	13.00	17.00	19.00	
42.00	39.00	41.00	43.00	32.00	36.00	33.00	38.00	27.00	41.00	32.00	33.00	37.00	29.00	26.00	19.00	19.00	31.00	22.00	25.00	22.00	15.00	7.00	19.00	13.00	16.00	0.00	17.00	15.00	13.00	10.00	18.00	10.00	25.00	18.00	23.00	27.00	31.00	33.00	
27.00	24.00	26.00	28.00	49.00	21.00	50.00	23.00	44.00	26.00	49.00	18.00	22.00	46.00	43.00	36.00	30.00	48.00	39.00	42.00	39.00	12.00	16.00	4.00	6.00	3.00	17.00	0.00	4.00	10.00	17.00	15.00	17.00	8.00	19.00	14.00	12.00	14.00	16.00	
